Date,Description,Amount,Category
2025-01-10,Baby reflect another painting investment.,81.16,utilities
2025-06-21,Age animal grow partner laugh.,81.16, Entertainment 
2024-08-29,Education during budget.,81.16,medical
2025-05-17,Purpose same down trade perform.,81.16,medical
2025-01-03,Nation professor individual.,81.16, Utilities 
2025-03-17,Last technology toward.,81.16,UTILITIES
2025-04-08,Anyone difficult stuff realize.,81.16, Entertainment 
2025-06-14,Rock hand trade interesting.,81.16, Rent 
2025-02-08,Large make stop involve blood.,81.16, Transport 
2025-03-14,Small reduce.,81.16,ENTERTAINMENT
2024-10-02,Way career ask fine.,81.16,groceries
2024-07-27,Process detail six dinner audience.,81.16,ENTERTAINMENT
2025-04-08,Doctor evening nor hot.,81.16,UTILITIES
2025-03-30,Degree south Congress window class.,81.16, Medical 
2025-06-17,Through morning spring himself.,81.16, Rent 
2025-02-02,Beautiful avoid simply movement.,81.16,MISC
2025-02-27,Consider full point.,81.16,groceries
2024-09-26,Fine create executive.,81.16, Food 
,Clear easy like.,81.16,food
2025-04-27,Resource instead including.,,groceries
2024-08-14,Wide clearly chance may.,81.16, Food 
2025-05-19,Agency style night.,81.16,medical
2024-11-19,Capital full require there.,81.16,TRANSPORT
2024-09-14,Yard arm seven knowledge.,81.16, Rent 
2025-01-04,Rate Democrat condition.,0.83,misc
2025-01-24,Lawyer much.,81.16,DINING
2024-08-05,Choice color actually ago.,81.16,food
2025-03-30,Technology from amount report later.,81.16,GROCERIES
2025-04-09,In whom recognize.,81.16,DINING
2025-05-30,Tell pay keep.,81.16, Medical 
2025-02-28,Seat home plant.,81.16, Groceries 
2024-12-02,More fight against.,81.16,UTILITIES
2024-11-01,Serve deep.,81.16, Shopping 
2025-01-22,Threat interest language sound.,81.16, Utilities 
2025-05-29,Serve quality whatever.,81.16,MEDICAL
2024-10-11,Child international shoulder analysis.,1333.42, Transport 
2024-12-23,Find shake should.,81.16,transport
2024-07-15,Shake mind break.,81.16,entertainment
2024-08-12,Charge benefit.,81.16,TRANSPORT
2024-10-09,Fill development up wait.,81.16, Medical 
2025-05-13,Day today commercial feeling investment.,81.16,entertainment
,More long level.,81.16,medical
2025-03-22,Country later from.,81.16,entertainment
2024-11-27,Ready another sure budget cost.,81.16, Misc 
2024-09-26,Artist order assume back.,81.16, Food 
2025-04-27,Operation on watch.,81.16, Food 
2024-12-12,Alone serious son.,,dining
2024-10-20,Her in enough tough.,81.16,TRANSPORT
2025-06-16,Just community into.,81.16,TRANSPORT
2024-11-25,Candidate power.,81.16,MEDICAL
2024-12-27,What attorney most particularly.,81.16,rent
2025-02-09,People list.,81.16,MEDICAL
2024-10-07,Nature common color hundred.,81.16, Entertainment 
2025-06-07,Note call.,1147.56, Dining 
2024-07-17,Artist south threat.,81.16,groceries
2024-10-16,Music serious much project character.,81.16,FOOD
2024-08-22,Way idea.,0.61, Medical 
2024-12-29,Business relate door.,81.16,ENTERTAINMENT
2024-08-19,There tax nothing pick national.,81.16,GROCERIES
2024-12-21,Just company finish process write.,81.16,UTILITIES
2024-07-08,Remain key.,81.16,dining
2024-10-19,Point film.,81.16, Medical 
2024-12-23,Forget unit memory simple.,81.16, Misc 
2024-10-29,Old myself.,81.16, Misc 
2024-08-23,Development score education.,81.16, Utilities 
2025-04-27,Policy party adult.,0.45,rent
2024-09-27,Dinner camera certain outside.,81.16,MEDICAL
2025-03-18,Expect positive whole figure.,81.16,misc
,Project board city.,81.16, Shopping 
2024-11-13,Positive vote.,81.16, Dining 
2024-07-06,Defense church.,81.16,medical
2024-11-02,Paper century sure property.,81.16, Groceries 
2025-02-27,Away statement.,81.16, Entertainment 
2025-06-13,Whole enough alone exist.,81.16,dining
2025-02-02,Else white song.,81.16, Misc 
2025-01-08,Use bank dark.,81.16,DINING
2024-07-31,Entire relationship.,, Utilities 
2025-04-24,Move day staff community face.,81.16, Misc 
2025-04-19,Maybe material player.,81.16,RENT
,Available coach available.,81.16,groceries
2024-08-09,Would certain involve.,81.16,SHOPPING
2024-07-02,Strategy by method decade author.,81.16,shopping
2024-12-28,Class public prepare.,81.16,food
2024-11-30,By above shoulder though become.,81.16,RENT
2024-10-06,See perhaps second.,81.16,MISC
2025-01-02,Also fear matter.,81.16,entertainment
2024-10-11,Option article study modern could.,81.16,rent
2025-01-08,Ever believe.,81.16,shopping
